チャンネル,動画名,動画URL,アップロード日,視聴数,倍率(vs中央値),outlier
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E9%A9%9A%E6%84%95%E3%81%97%E3%81%9F,【海外の反応】「日本企業など過去の遺物だ」韓国の煽りで三菱が決断⋯24時間後に韓国が絶望した驚愕の展開とは,https://www.youtube.com/watch?v=5DhGz3mhTfY,2026-08-28 17:00,16485,3.68,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E8%A6%8B%E3%81%9F%E6%97%A5%E6%9C%AC%E3%81%AE%E7%9C%9F%E4%BE%A1,【海外の反応】「日本の飯は、こんなもんか」世界で一番忙しいNY消防隊に日本の弁当を配ってみたら意外な結末に,https://www.youtube.com/watch?v=sJQa_MD-8n8,2026-08-27 13:00,1588,3.63,○
https://www.youtube.com/@%E6%B5%B7%E5%A4%96%E3%81%AE%E5%8F%8D%E5%BF%9CNEWS,英国人教授、30年の信念を捨て涙「日本は国ではない…アレは“神”だ」世界が絶句した親日家の警告に一同驚愕！,https://www.youtube.com/watch?v=boxoKhBg2qw,2026-08-28 18:30,468,3.55,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E6%86%A7%E3%82%8C%E3%82%8B%E4%BA%AC%E9%83%BD%E3%81%AE%E7%BE%8E-n5z,【海外の反応】「日本の部品はもう必要ない！」中国大手EVが高らかに宣言→わずか3ヶ月で起きた残酷な展開に世界が絶句,https://www.youtube.com/watch?v=kwmZUm2zrKM,2026-08-27 19:00,4461,3.52,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E6%86%A7%E3%82%8C%E3%82%8B%E4%BA%AC%E9%83%BD%E3%81%AE%E7%BE%8E-n5z,【海外の反応】「日本は韓国に依存してる！」半導体問題で韓国政府が強気発言→日本の予想外な行動で韓国絶句,https://www.youtube.com/watch?v=gwMD7Y6KcNw,2026-08-28 17:00,4440,3.5,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E8%A6%8B%E3%81%9F%E3%83%8B%E3%83%83%E3%83%9D%E3%83%B3%E3%81%AE%E5%87%84%E3%81%95,一口食べたら止まらない！外国人女性がおにぎりに完全にハマる！ #short #外国人のリアクション #日本観光 #日本グルメ #海外の反応,https://www.youtube.com/watch?v=EJbnGF36erE,2026-08-27 11:00,189152,3.49,○
https://www.youtube.com/@ShineintheWorldJapan,「なぜ日本だけ？」世界中が嫉妬!!海外では貴族だけの特権を1000年前に民主化していた日本文化の衝撃的事実とは【海外の反応】,https://www.youtube.com/watch?v=BPGch4zwv7s,2026-08-27 11:00,9590,3.43,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E8%AA%8D%E3%82%81%E3%81%9F%E6%97%A5%E6%9C%AC-10,【海外感動エピソード】BBC記者がAPEC取材で日本を訪問！日本の高速道路と交通インフラを目の当たりにして驚愕！「ヨーロッパが学ぶべき国」と絶賛した理由に、世界中が騒然！,https://www.youtube.com/watch?v=5XK7647SWh8,2026-08-29 11:00,676,3.27,○
https://www.youtube.com/@%E6%97%A5%E6%9C%AC%E5%8F%A4%E8%AD%9A,奉公三十年、屋敷を追われた朝に米一粒も持たず、甕の黒い溜まりだけを一椀すくった女中|昔話|説話|野談|時代劇|民話,https://www.youtube.com/watch?v=7T9qa247Lok,2026-08-28 13:00,9425,3.26,○
https://www.youtube.com/@JapanMinhWorld19981,【日本の技術】世界の名車を裏で支える日本企業5社！ドイツ高級車も中国EVも頼る「世界トップ級」車載部品の正体,https://www.youtube.com/watch?v=ptc4bYOW5QI,2026-08-28 13:00,1278,3.19,○
https://www.youtube.com/@sekai-shitto-japan,【海外の反応】なぜ日本だけ何度でも蘇る？世界が理解できない3つの力,https://www.youtube.com/watch?v=M87_OaLD4pU,2026-08-29 17:00,1699,3.14,○
https://www.youtube.com/@%E6%A1%9C%E5%BA%AD%E3%82%B9%E3%82%AB%E3%83%83%E3%81%A8%E5%8A%87%E5%A0%B4,【海外の反応】「竹島は日本のものだ！」韓国が竹島侵犯で挑発→世界が驚愕した日本の冷酷な行動とは,https://www.youtube.com/watch?v=grl3DMJD0I4,2026-08-29 18:00,1928,3.09,○
https://www.youtube.com/@%E9%98%B2%E8%A1%9B%E6%97%A5%E6%9C%AC%E3%81%AE%E5%BF%83%E3%83%81%E3%83%A3%E3%83%8D%E3%83%AB,【海外の反応】「日本は撃てない国でしょう？」友好国軍の指揮官が1000km級ミサイルの本当の意味を知ったとき、常識が覆る――【スカッと】【アニメ】,https://www.youtube.com/watch?v=UO_Kx2BQwOk,2026-08-28 17:00,2537,3.03,○
